0 verbose cli /usr/bin/node /usr/bin/npm
1 info using npm@11.11.0
2 info using node@v24.14.1
3 silly config load:file:/usr/lib/node_modules/npm/npmrc
4 silly config load:file:/mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/.npmrc
5 silly config load:file:/home/h/.npmrc
6 silly config load:file:/home/h/.npm-global/etc/npmrc
7 verbose title npm ci
8 verbose argv "ci" "--cache" "./npm-cache" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:/mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/npm-cache/_logs/2026-08-17T04_08_50_005Z-
10 verbose logfile /mnt/f/AIProjects/dsh-PackageManager/.drops/dsh-market-fork/npm-cache/_logs/2026-08-17T04_08_50_005Z-debug-0.log
11 silly logfile done cleaning log files
41 http cache typescript@https://registry.npmmirror.com/typescript/-/typescript-7.0.2.tgz 0ms (cache hit)
42 http cache trim-lines@https://registry.npmmirror.com/trim-lines/-/trim-lines-3.0.1.tgz 0ms (cache hit)
43 http cache tree-kill@https://registry.npmmirror.com/tree-kill/-/tree-kill-1.2.2.tgz 0ms (cache hit)
44 http cache tsdown@https://registry.npmmirror.com/tsdown/-/tsdown-0.22.14.tgz 0ms (cache hit)
45 http cache tr46@https://registry.npmmirror.com/tr46/-/tr46-6.0.0.tgz 0ms (cache hit)
46 http cache tough-cookie@https://registry.npmmirror.com/tough-cookie/-/tough-cookie-6.0.2.tgz 0ms (cache hit)
47 http cache tldts-core@https://registry.npmmirror.com/tldts-core/-/tldts-core-7.4.10.tgz 0ms (cache hit)
48 http cache tinyexec@https://registry.npmmirror.com/tinyexec/-/tinyexec-1.3.0.tgz 0ms (cache hit)
49 http cache tinybench@https://registry.npmmirror.com/tinybench/-/tinybench-2.9.0.tgz 0ms (cache hit)
50 http cache symbol-tree@https://registry.npmmirror.com/symbol-tree/-/symbol-tree-3.2.4.tgz 0ms (cache hit)
51 http cache stringify-entities@https://registry.npmmirror.com/stringify-entities/-/stringify-entities-4.0.4.tgz 0ms (cache hit)
52 http cache std-env@https://registry.npmmirror.com/std-env/-/std-env-4.2.0.tgz 0ms (cache hit)
53 http cache source-map-js@https://registry.npmmirror.com/source-map-js/-/source-map-js-1.2.1.tgz 0ms (cache hit)
54 http cache stackback@https://registry.npmmirror.com/stackback/-/stackback-0.0.2.tgz 0ms (cache hit)
55 http cache space-separated-tokens@https://registry.npmmirror.com/space-separated-tokens/-/space-separated-tokens-2.0.2.tgz 0ms (cache hit)
56 http cache siginfo@https://registry.npmmirror.com/siginfo/-/siginfo-2.0.0.tgz 1ms (cache hit)
57 http cache scheduler@https://registry.npmmirror.com/scheduler/-/scheduler-0.23.2.tgz 0ms (cache hit)
58 http cache rolldown-plugin-dts@https://registry.npmmirror.com/rolldown-plugin-dts/-/rolldown-plugin-dts-0.27.14.tgz 0ms (cache hit)
59 http cache shiki@https://registry.npmmirror.com/shiki/-/shiki-4.4.3.tgz 0ms (cache hit)
60 http cache tinyrainbow@https://registry.npmmirror.com/tinyrainbow/-/tinyrainbow-3.1.1.tgz 0ms (cache hit)
61 http cache rolldown@https://registry.npmmirror.com/rolldown/-/rolldown-1.2.4.tgz 0ms (cache hit)
62 http cache resolve-pkg-maps@https://registry.npmmirror.com/resolve-pkg-maps/-/resolve-pkg-maps-1.0.0.tgz 0ms (cache hit)
63 http cache require-from-string@https://registry.npmmirror.com/require-from-string/-/require-from-string-2.0.2.tgz 0ms (cache hit)
64 http cache regex-utilities@https://registry.npmmirror.com/regex-utilities/-/regex-utilities-2.3.0.tgz 0ms (cache hit)
65 http cache tldts@https://registry.npmmirror.com/tldts/-/tldts-7.4.10.tgz 0ms (cache hit)
66 http cache react-dom@https://registry.npmmirror.com/react-dom/-/react-dom-18.3.1.tgz 0ms (cache hit)
67 http cache tinyglobby@https://registry.npmmirror.com/tinyglobby/-/tinyglobby-0.2.17.tgz 0ms (cache hit)
68 http cache react-is@https://registry.npmmirror.com/react-is/-/react-is-17.0.2.tgz 0ms (cache hit)
69 http cache react@https://registry.npmmirror.com/react/-/react-18.3.1.tgz 0ms (cache hit)
70 http cache quansync@https://registry.npmmirror.com/quansync/-/quansync-1.0.0.tgz 0ms (cache hit)
71 http cache property-information@https://registry.npmmirror.com/property-information/-/property-information-7.2.0.tgz 0ms (cache hit)
72 http cache saxes@https://registry.npmmirror.com/saxes/-/saxes-6.0.0.tgz 0ms (cache hit)
73 http cache regex-recursion@https://registry.npmmirror.com/regex-recursion/-/regex-recursion-6.0.2.tgz 0ms (cache hit)
74 http cache postcss@https://registry.npmmirror.com/postcss/-/postcss-8.5.26.tgz 0ms (cache hit)
75 http cache playwright-core@https://registry.npmmirror.com/playwright-core/-/playwright-core-1.62.1.tgz 0ms (cache hit)
76 http cache playwright@https://registry.npmmirror.com/playwright/-/playwright-1.62.1.tgz 0ms (cache hit)
77 http cache pathe@https://registry.npmmirror.com/pathe/-/pathe-2.0.3.tgz 0ms (cache hit)
78 http cache picomatch@https://registry.npmmirror.com/picomatch/-/picomatch-4.0.5.tgz 0ms (cache hit)
79 http cache parse5@https://registry.npmmirror.com/parse5/-/parse5-8.0.1.tgz 0ms (cache hit)
80 http cache picocolors@https://registry.npmmirror.com/picocolors/-/picocolors-1.1.1.tgz 0ms (cache hit)
81 http cache oniguruma-parser@https://registry.npmmirror.com/oniguruma-parser/-/oniguruma-parser-0.12.2.tgz 0ms (cache hit)
82 http cache oniguruma-to-es@https://registry.npmmirror.com/oniguruma-to-es/-/oniguruma-to-es-4.3.6.tgz 0ms (cache hit)
83 http cache nanoid@https://registry.npmmirror.com/nanoid/-/nanoid-3.3.18.tgz 0ms (cache hit)
84 http cache regex@https://registry.npmmirror.com/regex/-/regex-6.1.0.tgz 0ms (cache hit)
85 http cache ms@https://registry.npmmirror.com/ms/-/ms-2.1.3.tgz 0ms (cache hit)
86 http cache micromark-util-types@https://registry.npmmirror.com/micromark-util-types/-/micromark-util-types-2.0.2.tgz 0ms (cache hit)
87 http cache micromark-util-subtokenize@https://registry.npmmirror.com/micromark-util-subtokenize/-/micromark-util-subtokenize-2.1.0.tgz 0ms (cache hit)
88 http cache micromark-util-symbol@https://registry.npmmirror.com/micromark-util-symbol/-/micromark-util-symbol-2.0.1.tgz 0ms (cache hit)
89 http cache micromark-util-resolve-all@https://registry.npmmirror.com/micromark-util-resolve-all/-/micromark-util-resolve-all-2.0.1.tgz 0ms (cache hit)
90 http cache micromark-util-html-tag-name@https://registry.npmmirror.com/micromark-util-html-tag-name/-/micromark-util-html-tag-name-2.0.1.tgz 0ms (cache hit)
91 http cache micromark-util-sanitize-uri@https://registry.npmmirror.com/micromark-util-sanitize-uri/-/micromark-util-sanitize-uri-2.0.1.tgz 0ms (cache hit)
92 http cache micromark-util-normalize-identifier@https://registry.npmmirror.com/micromark-util-normalize-identifier/-/micromark-util-normalize-identifier-2.0.1.tgz 0ms (cache hit)
93 http cache micromark-util-decode-string@https://registry.npmmirror.com/micromark-util-decode-string/-/micromark-util-decode-string-2.0.1.tgz 0ms (cache hit)
94 http cache micromark-util-combine-extensions@https://registry.npmmirror.com/micromark-util-combine-extensions/-/micromark-util-combine-extensions-2.0.1.tgz 0ms (cache hit)
95 http cache micromark-util-encode@https://registry.npmmirror.com/micromark-util-encode/-/micromark-util-encode-2.0.1.tgz 0ms (cache hit)
96 http cache micromark-util-decode-numeric-character-reference@https://registry.npmmirror.com/micromark-util-decode-numeric-character-reference/-/micromark-util-decode-numeric-character-reference-2.0.2.tgz 0ms (cache hit)
97 http cache micromark-util-classify-character@https://registry.npmmirror.com/micromark-util-classify-character/-/micromark-util-classify-character-2.0.1.tgz 0ms (cache hit)
98 http cache punycode@https://registry.npmmirror.com/punycode/-/punycode-2.3.1.tgz 0ms (cache hit)
99 http cache micromark-factory-whitespace@https://registry.npmmirror.com/micromark-factory-whitespace/-/micromark-factory-whitespace-2.0.1.tgz 0ms (cache hit)
100 http cache pretty-format@https://registry.npmmirror.com/pretty-format/-/pretty-format-27.5.1.tgz 0ms (cache hit)
101 http cache obug@https://registry.npmmirror.com/obug/-/obug-2.1.4.tgz 0ms (cache hit)
102 http cache micromark-util-character@https://registry.npmmirror.com/micromark-util-character/-/micromark-util-character-2.1.1.tgz 0ms (cache hit)
103 http cache micromark-util-chunked@https://registry.npmmirror.com/micromark-util-chunked/-/micromark-util-chunked-2.0.1.tgz 0ms (cache hit)
104 http cache micromark-factory-space@https://registry.npmmirror.com/micromark-factory-space/-/micromark-factory-space-2.0.1.tgz 0ms (cache hit)
105 http cache micromark-factory-title@https://registry.npmmirror.com/micromark-factory-title/-/micromark-factory-title-2.0.1.tgz 0ms (cache hit)
106 http cache micromark-extension-math@https://registry.npmmirror.com/micromark-extension-math/-/micromark-extension-math-3.1.0.tgz 0ms (cache hit)
107 http cache micromark-extension-gfm-table@https://registry.npmmirror.com/micromark-extension-gfm-table/-/micromark-extension-gfm-table-2.1.1.tgz 0ms (cache hit)
108 http cache micromark-extension-gfm-tagfilter@https://registry.npmmirror.com/micromark-extension-gfm-tagfilter/-/micromark-extension-gfm-tagfilter-2.0.0.tgz 0ms (cache hit)
109 http cache micromark-extension-gfm-strikethrough@https://registry.npmmirror.com/micromark-extension-gfm-strikethrough/-/micromark-extension-gfm-strikethrough-2.1.0.tgz 0ms (cache hit)
110 http cache micromark-extension-gfm-footnote@https://registry.npmmirror.com/micromark-extension-gfm-footnote/-/micromark-extension-gfm-footnote-2.1.0.tgz 0ms (cache hit)
111 http cache micromark-extension-gfm@https://registry.npmmirror.com/micromark-extension-gfm/-/micromark-extension-gfm-3.0.0.tgz 0ms (cache hit)
112 http cache micromark-extension-gfm-autolink-literal@https://registry.npmmirror.com/micromark-extension-gfm-autolink-literal/-/micromark-extension-gfm-autolink-literal-2.1.0.tgz 0ms (cache hit)
113 http cache micromark-core-commonmark@https://registry.npmmirror.com/micromark-core-commonmark/-/micromark-core-commonmark-2.0.3.tgz 0ms (cache hit)
114 http cache micromark@https://registry.npmmirror.com/micromark/-/micromark-4.0.2.tgz 0ms (cache hit)
115 http cache mdn-data@https://registry.npmmirror.com/mdn-data/-/mdn-data-2.27.1.tgz 0ms (cache hit)
116 http cache micromark-factory-label@https://registry.npmmirror.com/micromark-factory-label/-/micromark-factory-label-2.0.1.tgz 0ms (cache hit)
117 http cache micromark-factory-destination@https://registry.npmmirror.com/micromark-factory-destination/-/micromark-factory-destination-2.0.1.tgz 0ms (cache hit)
118 http cache micromark-extension-gfm-task-list-item@https://registry.npmmirror.com/micromark-extension-gfm-task-list-item/-/micromark-extension-gfm-task-list-item-2.1.0.tgz 0ms (cache hit)
119 http cache mdast-util-to-hast@https://registry.npmmirror.com/mdast-util-to-hast/-/mdast-util-to-hast-13.2.1.tgz 0ms (cache hit)
120 http cache mdast-util-to-string@https://registry.npmmirror.com/mdast-util-to-string/-/mdast-util-to-string-4.0.0.tgz 0ms (cache hit)
121 http cache mdast-util-to-markdown@https://registry.npmmirror.com/mdast-util-to-markdown/-/mdast-util-to-markdown-2.1.2.tgz 0ms (cache hit)
122 http cache mdast-util-phrasing@https://registry.npmmirror.com/mdast-util-phrasing/-/mdast-util-phrasing-4.1.0.tgz 0ms (cache hit)
123 http cache mdast-util-math@https://registry.npmmirror.com/mdast-util-math/-/mdast-util-math-3.0.0.tgz 0ms (cache hit)
124 http cache mdast-util-gfm-task-list-item@https://registry.npmmirror.com/mdast-util-gfm-task-list-item/-/mdast-util-gfm-task-list-item-2.0.0.tgz 0ms (cache hit)
125 http cache mdast-util-gfm-table@https://registry.npmmirror.com/mdast-util-gfm-table/-/mdast-util-gfm-table-2.0.0.tgz 0ms (cache hit)
126 http cache mdast-util-gfm-strikethrough@https://registry.npmmirror.com/mdast-util-gfm-strikethrough/-/mdast-util-gfm-strikethrough-2.0.0.tgz 1ms (cache hit)
127 http cache mdast-util-gfm-footnote@https://registry.npmmirror.com/mdast-util-gfm-footnote/-/mdast-util-gfm-footnote-2.1.0.tgz 0ms (cache hit)
128 http cache mdast-util-gfm-autolink-literal@https://registry.npmmirror.com/mdast-util-gfm-autolink-literal/-/mdast-util-gfm-autolink-literal-2.0.1.tgz 0ms (cache hit)
129 http cache mdast-util-gfm@https://registry.npmmirror.com/mdast-util-gfm/-/mdast-util-gfm-3.1.0.tgz 0ms (cache hit)
130 http cache mdast-util-from-markdown@https://registry.npmmirror.com/mdast-util-from-markdown/-/mdast-util-from-markdown-2.0.3.tgz 0ms (cache hit)
131 http cache mdast-util-find-and-replace@https://registry.npmmirror.com/mdast-util-find-and-replace/-/mdast-util-find-and-replace-3.0.2.tgz 0ms (cache hit)
132 http cache markdown-table@https://registry.npmmirror.com/markdown-table/-/markdown-table-3.0.4.tgz 0ms (cache hit)
133 http cache magic-string@https://registry.npmmirror.com/magic-string/-/magic-string-0.30.21.tgz 0ms (cache hit)
134 http cache lz-string@https://registry.npmmirror.com/lz-string/-/lz-string-1.5.0.tgz 0ms (cache hit)
135 http cache lru-cache@https://registry.npmmirror.com/lru-cache/-/lru-cache-11.5.2.tgz 0ms (cache hit)
136 http cache loose-envify@https://registry.npmmirror.com/loose-envify/-/loose-envify-1.4.0.tgz 0ms (cache hit)
137 http cache longest-streak@https://registry.npmmirror.com/longest-streak/-/longest-streak-3.1.0.tgz 0ms (cache hit)
138 http cache lightningcss-linux-x64-gnu@https://registry.npmmirror.com/lightningcss-linux-x64-gnu/-/lightningcss-linux-x64-gnu-1.33.0.tgz 0ms (cache hit)
139 http cache lightningcss-linux-x64-musl@https://registry.npmmirror.com/lightningcss-linux-x64-musl/-/lightningcss-linux-x64-musl-1.33.0.tgz 0ms (cache hit)
140 http cache lightningcss@https://registry.npmmirror.com/lightningcss/-/lightningcss-1.33.0.tgz 0ms (cache hit)
141 http cache katex@https://registry.npmmirror.com/katex/-/katex-0.16.47.tgz 0ms (cache hit)
142 http cache js-yaml@https://registry.npmmirror.com/js-yaml/-/js-yaml-4.3.1.tgz 0ms (cache hit)
143 http cache jsdom@https://registry.npmmirror.com/jsdom/-/jsdom-29.1.1.tgz 0ms (cache hit)
144 http cache js-tokens@https://registry.npmmirror.com/js-tokens/-/js-tokens-4.0.0.tgz 0ms (cache hit)
145 http cache import-without-cache@https://registry.npmmirror.com/import-without-cache/-/import-without-cache-0.4.0.tgz 0ms (cache hit)
146 http cache is-potential-custom-element-name@https://registry.npmmirror.com/is-potential-custom-element-name/-/is-potential-custom-element-name-1.0.1.tgz 0ms (cache hit)
147 http cache html-void-elements@https://registry.npmmirror.com/html-void-elements/-/html-void-elements-3.0.0.tgz 0ms (cache hit)
148 http cache html-encoding-sniffer@https://registry.npmmirror.com/html-encoding-sniffer/-/html-encoding-sniffer-6.0.0.tgz 0ms (cache hit)
149 http cache hookable@https://registry.npmmirror.com/hookable/-/hookable-6.1.1.tgz 0ms (cache hit)
150 http cache hast-util-whitespace@https://registry.npmmirror.com/hast-util-whitespace/-/hast-util-whitespace-3.0.0.tgz 0ms (cache hit)
151 http cache hast-util-to-html@https://registry.npmmirror.com/hast-util-to-html/-/hast-util-to-html-9.0.5.tgz 0ms (cache hit)
152 http cache get-tsconfig@https://registry.npmmirror.com/get-tsconfig/-/get-tsconfig-5.0.0-beta.5.tgz 0ms (cache hit)
153 http cache es-module-lexer@https://registry.npmmirror.com/es-module-lexer/-/es-module-lexer-2.3.1.tgz 0ms (cache hit)
154 http cache escape-string-regexp@https://registry.npmmirror.com/escape-string-regexp/-/escape-string-regexp-5.0.0.tgz 0ms (cache hit)
155 http cache empathic@https://registry.npmmirror.com/empathic/-/empathic-2.0.1.tgz 0ms (cache hit)
156 http cache entities@https://registry.npmmirror.com/entities/-/entities-8.0.0.tgz 0ms (cache hit)
157 http cache dts-resolver@https://registry.npmmirror.com/dts-resolver/-/dts-resolver-3.0.0.tgz 0ms (cache hit)
158 http cache dom-accessibility-api@https://registry.npmmirror.com/dom-accessibility-api/-/dom-accessibility-api-0.5.16.tgz 0ms (cache hit)
159 http cache detect-libc@https://registry.npmmirror.com/detect-libc/-/detect-libc-2.1.2.tgz 0ms (cache hit)
160 http cache devlop@https://registry.npmmirror.com/devlop/-/devlop-1.1.0.tgz 0ms (cache hit)
161 http cache dequal@https://registry.npmmirror.com/dequal/-/dequal-2.0.3.tgz 0ms (cache hit)
162 http cache fdir@https://registry.npmmirror.com/fdir/-/fdir-6.5.0.tgz 0ms (cache hit)
163 http cache expect-type@https://registry.npmmirror.com/expect-type/-/expect-type-1.4.0.tgz 0ms (cache hit)
164 http cache estree-walker@https://registry.npmmirror.com/estree-walker/-/estree-walker-3.0.3.tgz 0ms (cache hit)
165 http cache defu@https://registry.npmmirror.com/defu/-/defu-6.1.7.tgz 0ms (cache hit)
166 http cache decode-named-character-reference@https://registry.npmmirror.com/decode-named-character-reference/-/decode-named-character-reference-1.3.0.tgz 0ms (cache hit)
167 http cache decimal.js@https://registry.npmmirror.com/decimal.js/-/decimal.js-10.6.0.tgz 0ms (cache hit)
168 http cache debug@https://registry.npmmirror.com/debug/-/debug-4.4.3.tgz 1ms (cache hit)
169 http cache data-urls@https://registry.npmmirror.com/data-urls/-/data-urls-7.0.0.tgz 0ms (cache hit)
170 http cache csstype@https://registry.npmmirror.com/csstype/-/csstype-3.2.3.tgz 0ms (cache hit)
171 http cache css-tree@https://registry.npmmirror.com/css-tree/-/css-tree-3.2.1.tgz 0ms (cache hit)
172 http cache convert-source-map@https://registry.npmmirror.com/convert-source-map/-/convert-source-map-2.0.0.tgz 0ms (cache hit)
173 http cache commander@https://registry.npmmirror.com/commander/-/commander-8.3.0.tgz 0ms (cache hit)
174 http cache comma-separated-tokens@https://registry.npmmirror.com/comma-separated-tokens/-/comma-separated-tokens-2.0.3.tgz 0ms (cache hit)
175 http cache clsx@https://registry.npmmirror.com/clsx/-/clsx-2.1.1.tgz 0ms (cache hit)
176 http cache chai@https://registry.npmmirror.com/chai/-/chai-6.2.2.tgz 0ms (cache hit)
177 http cache ccount@https://registry.npmmirror.com/ccount/-/ccount-2.0.1.tgz 0ms (cache hit)
178 http cache cac@https://registry.npmmirror.com/cac/-/cac-7.0.0.tgz 0ms (cache hit)
179 http cache bidi-js@https://registry.npmmirror.com/bidi-js/-/bidi-js-1.0.3.tgz 0ms (cache hit)
180 http cache aria-query@https://registry.npmmirror.com/aria-query/-/aria-query-5.3.0.tgz 0ms (cache hit)
181 http cache assertion-error@https://registry.npmmirror.com/assertion-error/-/assertion-error-2.0.1.tgz 0ms (cache hit)
182 http cache argparse@https://registry.npmmirror.com/argparse/-/argparse-2.0.1.tgz 0ms (cache hit)
183 http cache ansis@https://registry.npmmirror.com/ansis/-/ansis-4.3.1.tgz 0ms (cache hit)
184 http cache ansi-regex@https://registry.npmmirror.com/ansi-regex/-/ansi-regex-5.0.1.tgz 0ms (cache hit)
185 http cache ansi-styles@https://registry.npmmirror.com/ansi-styles/-/ansi-styles-5.2.0.tgz 0ms (cache hit)
186 http cache character-entities-legacy@https://registry.npmmirror.com/character-entities-legacy/-/character-entities-legacy-3.0.0.tgz 0ms (cache hit)
187 http cache character-entities-html4@https://registry.npmmirror.com/character-entities-html4/-/character-entities-html4-2.1.0.tgz 0ms (cache hit)
188 http cache character-entities@https://registry.npmmirror.com/character-entities/-/character-entities-2.0.2.tgz 0ms (cache hit)
189 http cache anser@https://registry.npmmirror.com/anser/-/anser-2.3.5.tgz 0ms (cache hit)
190 http cache @yuku-parser/binding-linux-x64-gnu@https://registry.npmmirror.com/@yuku-parser/binding-linux-x64-gnu/-/binding-linux-x64-gnu-0.8.7.tgz 0ms (cache hit)
191 http cache @yuku-toolchain/types@https://registry.npmmirror.com/@yuku-toolchain/types/-/types-0.8.7.tgz 0ms (cache hit)
192 http cache @yuku-codegen/binding-linux-x64-musl@https://registry.npmmirror.com/@yuku-codegen/binding-linux-x64-musl/-/binding-linux-x64-musl-0.8.7.tgz 0ms (cache hit)
193 http cache @yuku-parser/binding-linux-x64-musl@https://registry.npmmirror.com/@yuku-parser/binding-linux-x64-musl/-/binding-linux-x64-musl-0.8.7.tgz 0ms (cache hit)
194 http cache @yuku-codegen/binding-linux-x64-gnu@https://registry.npmmirror.com/@yuku-codegen/binding-linux-x64-gnu/-/binding-linux-x64-gnu-0.8.7.tgz 0ms (cache hit)
195 http cache @vitest/utils@https://registry.npmmirror.com/@vitest/utils/-/utils-4.1.10.tgz 0ms (cache hit)
196 http cache @vitest/snapshot@https://registry.npmmirror.com/@vitest/snapshot/-/snapshot-4.1.10.tgz 1ms (cache hit)
197 http cache @vitest/spy@https://registry.npmmirror.com/@vitest/spy/-/spy-4.1.10.tgz 0ms (cache hit)
198 http cache @vitest/runner@https://registry.npmmirror.com/@vitest/runner/-/runner-4.1.10.tgz 0ms (cache hit)
199 http cache @vitest/pretty-format@https://registry.npmmirror.com/@vitest/pretty-format/-/pretty-format-4.1.10.tgz 0ms (cache hit)
200 http cache @vitest/expect@https://registry.npmmirror.com/@vitest/expect/-/expect-4.1.10.tgz 0ms (cache hit)
201 http cache @ungap/structured-clone@https://registry.npmmirror.com/@ungap/structured-clone/-/structured-clone-1.3.3.tgz 0ms (cache hit)
202 http cache @vitest/mocker@https://registry.npmmirror.com/@vitest/mocker/-/mocker-4.1.10.tgz 0ms (cache hit)
203 http cache @types/react@https://registry.npmmirror.com/@types/react/-/react-18.3.31.tgz 0ms (cache hit)
204 http cache @types/unist@https://registry.npmmirror.com/@types/unist/-/unist-3.0.3.tgz 0ms (cache hit)
205 http cache @types/prop-types@https://registry.npmmirror.com/@types/prop-types/-/prop-types-15.7.15.tgz 0ms (cache hit)
206 http cache @types/katex@https://registry.npmmirror.com/@types/katex/-/katex-0.16.8.tgz 0ms (cache hit)
207 http cache @types/hast@https://registry.npmmirror.com/@types/hast/-/hast-3.0.5.tgz 0ms (cache hit)
208 http cache @typescript/typescript-linux-x64@https://registry.npmmirror.com/@typescript/typescript-linux-x64/-/typescript-linux-x64-7.0.2.tgz 0ms (cache hit)
209 http cache @types/js-yaml@https://registry.npmmirror.com/@types/js-yaml/-/js-yaml-4.0.9.tgz 1ms (cache hit)
210 http cache @types/estree@https://registry.npmmirror.com/@types/estree/-/estree-1.0.9.tgz 0ms (cache hit)
211 http cache @types/deep-eql@https://registry.npmmirror.com/@types/deep-eql/-/deep-eql-4.0.2.tgz 0ms (cache hit)
212 http cache @types/debug@https://registry.npmmirror.com/@types/debug/-/debug-4.1.13.tgz 0ms (cache hit)
213 http cache @types/chai@https://registry.npmmirror.com/@types/chai/-/chai-5.2.3.tgz 0ms (cache hit)
214 http cache @types/node@https://registry.npmmirror.com/@types/node/-/node-26.2.0.tgz 0ms (cache hit)
215 http cache @types/ms@https://registry.npmmirror.com/@types/ms/-/ms-2.1.0.tgz 0ms (cache hit)
216 http cache @types/mdast@https://registry.npmmirror.com/@types/mdast/-/mdast-4.0.4.tgz 0ms (cache hit)
217 http cache @testing-library/react@https://registry.npmmirror.com/@testing-library/react/-/react-16.3.2.tgz 0ms (cache hit)
218 http cache @testing-library/dom@https://registry.npmmirror.com/@testing-library/dom/-/dom-10.4.1.tgz 0ms (cache hit)
219 http cache @types/aria-query@https://registry.npmmirror.com/@types/aria-query/-/aria-query-5.0.4.tgz 0ms (cache hit)
220 http cache @standard-schema/spec@https://registry.npmmirror.com/@standard-schema/spec/-/spec-1.1.0.tgz 0ms (cache hit)
221 http cache @shikijs/vscode-textmate@https://registry.npmmirror.com/@shikijs/vscode-textmate/-/vscode-textmate-10.0.2.tgz 0ms (cache hit)
222 http cache @shikijs/types@https://registry.npmmirror.com/@shikijs/types/-/types-4.4.3.tgz 0ms (cache hit)
